questions,responses
What is the role of INSPACe?,"According to Secretary Space and chairperson of ISRO, Kailasavadivoo Sivan INSPACe will be an autonomous body parallel to ISRO with its own board with some members from the private sector and chairperson."
What is the History of INSPACe?,The establishment of INSPACe was announced in June 2020 by the Minister of State for Space Jitendra Singh with the Union Cabinet approving its creation in the same month Secretary Space and chairperson of the ISRO .Kailasavadivoo Sivan said that it would take up to six months to operationalise INSPACe with the DS handling its functions in the meantime Functions.
What is the objective of the NESAC?,"The objective of NESAC is to search and utilize the natural resources present in the region using remote sensing, provide the NorthEastern states access to satellite services and promote research in the space technology in the region by tying up with the academic institutions in the region Programmes."
What is the INSPAC?,the DS Government of India.
What is the role of the INSPAC?,The space sector was earlier regulated by ISRO but now the organisation will focus on its core activity of RD.
What is the purpose of the ISS Technology?,IIST is a government aided institute and deemed university for the study and research of space science located at Valiamala Nedumangad Thiruvananthapuram Kerala.
Where is the solar observatory located?,"Udaipur,Ahmedabad."
What is the purpose of the SCL?,Its aims include RD in the field of semiconductor technology.
Where is the IIST located?,Thiruvananthapuram.
What year was the Vyom Mk II planned for launch?,2015
What is the PRL??,The PRL is a National Research Institute for space and allied sciences supported mainly by the DS Government of India.
What is the main objective of the NSIL?,The main objective of NSIL is to scale up industry participation in Indian space programmes.
Where is the planet K2236b located?,Earth.
What year did Progressive Brothers perform in Dhanak?,2016
When was the LPSC inaugurated?,25-08-2009.
What is the functionality of INSPACe?,The centre will act as a facilitator and regulator of space activities in India.
When was the NorthEastern SAC set up?,09-01-2000.
What is the purpose of the ATF Campus?,The campus has an extension in the picturesque Ponmudi Hills Thiruvananthapuram for an observatory.
What is the agency of INSPACe?,INSPACe is to be established as a single window nodal agency.
What is the INSPAC?,INSPAC INSPACe is an upcoming organisation under the DS of the Government of India.
When was the NESAC established?,09-01-2000.
Where was the NEC established?,Shillong.
When did PRL discover the EPIC 211945201b?,06-01-2018.
What is the first student made sounding rocket in Asia?,the Vyom Mk II.
What is the name of the exoplanet?,K2236b.
When was the PRL founded?,11-11-1947.
When was the first NMRF established?,1992
When did it come under the administrative control of the DS?,03-01-2005.
Where is the LPSC located?,Thiruvananthapuram.
What was the name of the NEC?,NorthEastern SAC.
Where is the ATF Campus located?,Thiruvananthapuram.
What is the scl?,The SemiConductor Laboratory.
How far away is the planet K2236b?,light years.
What is the purpose of the Network Monitoring Facility?,The Network Monitoring Facility established at DECU Ahmedabad is used to obtain the feedback on the utilisation and assess the quality of programmes transmitted on Ku and Ext C Band EDUSAT networks.
Where is TrainNet installed?,The TrainNet server is installed at the Telemedicine hub Bengaluru.
What are the main areas of Telemedicine?,The Mobile Telemedicine units cover diverse areas of Ophthalmology Cardiology Radiology Diabetology Mammography General medicine Women and Child healthcare.
What is the purpose of the Telemedicine programme?,Telemedicine Users Meet was held at DECU Ahmedabad to assess the utilisation and the future plans of the state's hospitals institutions regarding the telemedicine nodes.
What band is used to monitor the quality of the EDUSAT networks?,Ext C Band.
What is the purpose of the IRNSS?,"IRNSS, the IRNSS is an ISRO initiative to design and develop an independent satellite based navigation system to provide positioning navigation and timing services for users over the Indian region."
What is the role of the CME on telemedicine networks in the Indian society?,CME on ISROs Telemedicine network The Indian space programme has multidimensions providing a significant infrastructure for national development in the vital areas like telecommunications TV broadcasting meteorological observations and generating timely and accurate data on natural resources management.
What are the services of DTH?,DTH services are becoming popular with the introduction of premium services like HD TV services On Demand movie services etc.
What is the purpose of the flood warning system?,"Using satellite and ground based observations on hydrometeorological parameters land use land cover digital elevation models flood forecasting is carried out .Experimental Landslide Early Warning System for Rainfall Triggered Landslides is carried out for the following routes namely Rishikesh Badrinath, Rishikesh Uttarkashi,Gaumukh Chamoli,Okhimath, Rudraprayag,Kedarnath and PithoragarhMalpa in Uttarakhand during specific seasons ,This information helps in better decision making for flood mitigation."
What is the role of ISRO in the occurrence of major disasters?,"Using high resolution stereo data from Cartosat1, ISRO provided details of damagesISRO as the signatory of International Charter Space and Major Disasters supports various Authorised Users AUs of the Charter during major disasters."
What is the purpose of the INSAT system?,Doordarshan is a major user of INSAT satellites for providing TV services over the country.
What is the purpose of the telemedicine network?,The one to many CME facility was introduced in the Telemedicine network by incorporating TrainNet a LMS .The telemedicine network of ISRO began in 2001 with a vision to extend technological support to provide quality medical services to needy patients across the country.
What is the purpose of the INSAT satellite?,At present 33 Doordarshan TV channels are operating through Cband transponders of INSAT3 INSAT3C and INSAT4B.
What are the three phases of the EDUSAT programme?,EDUSAT Programme was implemented in three phases: pilot semi operational and operational phases.
What is the purpose of the CME facility?,This facility will help hospitals and medical institutions to share their experiences and best practices with each other.
What is the purpose of the GAGAN system?,"GAGAN provides the additional accuracy, availability and integrity necessary for all phases of flight from en route through approach for all qualified airports within the GAGAN service volume."
What are the benefits of GAGAN for the aviation sector?,"The implementation of GAGAN has numerous benefits to the aviation sector in terms of fuel in equipment cost flight safety increased air space capacity efficiency enhancement of reliability reduction in workload for operators coverage of the oceanic area for AT control high position accuracy etc ,The implementation of GAGAN has numerous benefits to the aviation sector in terms of fuel saving saving in equipment cost flight safety increased air space capacity efficiency enhancement of reliability reduction in workload for operators coverage of the oceanic area for AT control high position accuracy etc ,The quantum of benefits in the aviation sector would depend on the level of utilisation of such benefits."
Where is the Indian Mission Control Centre located?,"The Indian Mission Control Centre INMCC is located at ISTRAC Bengaluru ,Bengaluru ,The Indian Mission Control Centre INMCC is located at ISTRAC Bangalore."
Who has implemented the GPS Aided Geo Augmented NavigationGAGAN project?,The ISRO.
In What basin is the flood inundation forecast?,Godavari basin.
What are the main types of tele education networks in India?,The networks implemented under EDUSAT programme comprise two types of terminals namely SIT SITs and ROTs ROTs.
What is the name of the satellite used for educational services?,TeleEducation.
What is the role of INSAT in the expansion of Indian TV coverage?,TV INSAT has been a major catalyst for the expansion of TV coverage in India.
What satellites are being used to provide DTH services?,INSAT GSAT.
What is the role of the telemedicine network?,The recent activities under the Telemedicine Programme involved migration and operationalisation of the nodes Which were affected due to nonavailability of EDUSAT GSAT3.
What type of terminals are implemented under EDUSAT?,ROTs.
What is the best way to conduct studies with different States using geospatial technology?,Bhuvan Geoportal.
What are some of the applications of the IRNSS?,Some applications of IRNSS are Terrestrial Aerial and Marine Navigation Disaster Management Vehicle tracking and fleet management Integration with mobile phonesPrecise Timing Mapping and Geodetic data capture Terrestrial navigation aid for hikers and travellers Visual and voice navigation for driversDisaster Management Support India is prone to many natural disasters like floods landslides cyclones forest fires earthquakes drought etc.
What is the role of the ISRO in Telemedicine?,While DOSISRO provides Telemedicine systems software hardware and communication equipment as well as satellite bandwidth state governments and the speciality hospitals have to allocate funds for their part of the infrastructure manpower and facility support.
What are the main objectives of the EDUSAT programme?,EDUSAT had many fold objectives to supplement the curriculum based teaching imparting effective teacher training providing access to quality resource persons and new technologies thus finally resulting in taking education to every nook and corner of India .EDUSAT provided connectivity to schools colleges and higher levels of education and also supported nonformal education including development communication.
What are the main services of the EDUSAT satellite?,Telemedicine and Village Resource Centres.
What is the purpose of the Indian Mission Control Centre?,The Indian LUTs and MCC provide round the clock service and maintain the database of all 406 MHz registered beacons carried on-board Indian ships and aircraft.
What is the scope of the Telemedicine programme?,ISRO Telemedicine network covers various states regions including Jammu Kashmir Ladakh Andaman Nicobar Islands Lakshadweep Islands North Eastern States and other mainland states.
What is the purpose of the TSTC?,The TSTC is established at Guwahati Assam to provide technical support on a continuous basis to all the Remote Sites Hubs and TeachingEnds of various state networks in the NorthEast Region.
What is the role of ISRO in the Telemedicine programme?,ISRO is in the process of bringing in annual maintenance support for the Telemedicine systems to ensure continuity of service.
What is the purpose of the IRNSS?,IRNSS will provide independent and self-reliant satellite based navigation services over the Indian region.
What is the purpose of the GAGAN ionospheric algorithm?,GAGAN ionospheric algorithm known as ISRO GIVE ModelMultiLayer Data Fusion. IGMMLDF was developed by ISRO and is operational in the implemented GAGAN System.
What are the services of TDCC?,The experience of TDCC has helped in designing EDSAT Networks under Tele Education Programme.
What is the purpose of GAGAN?,GAGAN though primarily meant for aviation will provide benefits beyond aviation to many other user segments such as intelligent transportation maritime highways railways surveying geodesy security agencies telecom industry personal users of position location applications etc.
What are the main topics of the TDCC system?,RD Women Child Development.
What region is covered by Indian LUTs?,Nepal.
In addition ISRO also provides capacity building in the use of Space technology inputs in disaster?,Disaster Management Support.
What is the most accurate way to assess low lying areas?,Digital Surface Models.
What are some of the areas where the TDCC system is being used extensively?,Health Agriculture Forestry.
What is the role of ISRO in the Civil Aviation sector?,ISRO is committed to providing the satellite based Navigation services to meet the emerging demands of the Civil Aviation requirements and to meet the user requirements of the positioning navigation and timing based on the independent satellite navigation system.
When is the Resourcesat3 3A launch planned?,Resourcesat3 is planned to be launched in the year September 2019 and August 2020 respectively.
When is the RISAT 1A 1B mission planned?,RISAT 1A 1B are planned to be launched in the year December 2018 and March 2021 respectively.
Which Indian space agency launched the first spacecraft?,ISRO.
What are the X Ray binaries?,X Ray binaries are a special class of binary stars that are very bright in X Rays.
In What year is TeamIndus launching its spacecraft to the Moon?,2018
What is the purpose of the GISAT1?,GISAT1 is a geo imaging satellite operating from geostationary orbit to provide high temporal resolution.
What telescope was used to trace the locations of hot stars?,AstroSat.
What type of Rover will land on the lunar surface?,Lander.
What is the full form of RLV?,the RLV.
What is the name of the NASA contribution to NISAR?,NASAs contribution to NISAR is being managed and implemented by the agency's JPL in Pasadena California.
In What year is India ready to join the ranks of the moon lander?,2018
Who is working on a SSLV SSLV?,The ISRO.
What are the top two places that Planet Labs is planning to launch its satellites?,Bengaluru and Hyderabad are my top priorities.
What is the purpose of the IRNSS 1E launch?,IRNSS1I is being launched to replace the first navigation satellite IRNSS1 Whose three Rubidium AT clocks meant to measure precise locational data had stopped working two years ago.
When is the launch of Oceansat 3?,07-01-2019.
What is the launch vehicle for NISAR?,The launch vehicle identified for NISAR is GSLV MkII and is planned to be launched in the year 2021.
What constellation is the crab nebula in?,Taurus.
When is NISAR planned to be launched?,the year 2021.
When are RISAT 1A and 1B planned to be launched?,the year December 2018 and March 2021.
What year is INSAT 3DS planned to be ready?,2018
What is Stellar astronomy?,"Stellar astronomy is concerned with star formation physical properties, main sequence life span variability, stellar evolution and extinction."
What is Interstellar astrophysics?,Interstellar astrophysics study of the interstellar medium intergalactic medium indust.
What is Geophysics?,Geophysics includes seismology and tectonophysics geophysical fluid dynamics mineral physics geodynamics mathematical geophysics and geophysical surveying.
What is the definition of astrochemistry?,"The word astrochemistry may be applied to both the Solar System and the interstellar medium ,Astrochemistry is the study of the abundance and reactions of molecules in the UV and their interaction with radiation."
What is the most common form of a galaxy?,They are commonly divided into spiral elliptical and Irregular galaxies.
What is Astrobiology?,"Astrobiology concerns itself with the interpretation of existing scientific data and although speculation is entertained to give context, astrobiology concerns itself primarily with hypotheses that fit firmly into existing scientific theories."
What is the definition of astrophysics?,branch of astronomy that deals with the physics of the UV including the physical properties of celestial objects as well as their interactions and behaviour.
What is Optical astronomy?,Historically Optical astronomy also called visible light astronomy is the oldest form of astronomy.
What is Radio astronomy?,Radio astronomy is different from most other forms of observational astronomy in that the observed radio waves can be treated as waves rather than as discrete photons.
Who invented the laws of gravitation?,Isaac Newton.
What is the definition for the term planetary science?,"Planetary science is the study of the assemblage of planets, moons, dwarf planets, comets, asteroids and other bodies orbiting the Sun as well as extrasolar planets."
What planet was discovered in 1781?,Uranus.
What is the active galaxy?,An active galaxy is a formation that emits a significant amount of its energy from a source other than its star's dust and gas.
What is Gammaray astronomy?,Gammaray astronomy observing astronomical objects at the shortest wavelengths of the electromagnetic spectrum.
What is the definition of Space science?,Space science encompasses all of the scientific disciplines that involve space exploration and study natural phenomena and physical bodies occurring in outer space such as space medicine and astrobiology.
When did mechanical clocks appear in Europe?,the 14th century.
What is the definition of Astrostatistics?,Astrostatistics is the application of statistics to astrophysics to the analysis of a vast amount of observational astrophysical data.
When did Hipparchus discover precession?,the 2nd century.
What is the photosphere?,The visible outer surface of the Sun is called the photosphere.
What is physical cosmology?,"Observations of the large-scale structure of the Universe, a branch known as physical cosmology, have provided a deep understanding of the formation and evolution of the cosmos."
What is the mission of PSLVC51?,"PSLV 51 Amazonia 1 is the first dedicated commercial mission of NSIL NSIL, a Government of India company under the DS."
when the PSLVC51 was lifted off?,PSLVC51 lifted off from the First Launch Pad of SDSC SHAR at 1024 hours IST as planned.
Who formulated the Big Bang theory?,Hubble.
What is the sunspot cycle?,The Sun is not considered a variable star but it does undergo periodic changes in activity known as the sunspot cycle.
What are the laws of astrodynamics?,The fundamental laws of astrodynamics are Newton's law of universal gravitation and Newton's laws of motion while the fundamental mathematical tool is differential calculus.
What is Astrobiology?,"Astrobiology is an interdisciplinary scientific field concerned with the origins, early evolution distribution and future of life in the universe."
What is Geomorphology?,Geomorphology studies the features on planetary surfaces and reconstructs the history of their formation inferring the physical processes that acted on the surface.
What is Astrometry?,Astrometry is defined as the study of the position of objects in the sky and their changes of position.
What is the Earth geoid?,The Earth geoid is essentially the figure of the Earth abstracted from its topographic features.
What is the definition of Astronomy?,"Astronomy studies the UV beyond Earth including its formation and development and the evolution of physics, chemistry, meteorology and motion of celestial objects such as galaxies, planets etc."
Which planets have significant atmospheres?,Venus.
What moons have significant atmospheres?,Moon and Triton.
What is Observational astronomy?,Observational astronomy is practise of observing celestial objects by using telescopes and other astronomical apparatus.
What is the name of the spacecraft that would study the sun?,SOHO.
What is Plasma astrophysics?,Plasma astrophysics studies properties of plasma in outer space.
What is Galactic astronomy?,Galactic astronomy deals with the structure and components of our galaxy and of other galaxies.
On the planet of Mars What is the earliest known meteorite?,Earth.
In What year did the IBEX come?,2008
What is the definition of coral bleaching?,Coral bleaching is a physiological process by Which host coral polyps loose endosymbiont autotrophic green algae called Zooxanthellae.
What is the role of the hub in the VSAT network?,The hub acts as a gateway with an interface to external connectivity and several application servers.
What is the potential of satellite technology for societal applications?,The potential of space technology for applications of national development is enormous.
What is the role of satellites in urban planning?,"High Resolution satellite data provides a tool by Which these changes can be managed and planned for a broad expansion of urban environments ,The fundamental data required by urban planners and policymakers is accurate information on current land use practices in a city or town and how it changes over the past for carrying out various urban planning alternatives and management activities."
What are the parameters used to estimate the climatic conditions of the ocean?,The data used to estimate these parameters are a SSH anomaly SSH from the available altimeters by sea surface temperature SST.
What is the role of the NER in generating flood alerts?,The system is capable of generating flood alerts in the district and revenue circle level with an average actionable lead time of 24 to 48 hours.
What are the most common satellites used for the assessment of forest cover?,"IRS AWiFS INSAT and others are used for historical change assessment, biomass estimation, automated annual forest changes etc."
What is the definition of land degradation?,"Land degradation is temporary or permanent degeneration of productivity of land due to physical, chemical or biological factors."
What are the main parameters used for atmospheric and oceanic studies?,Ocean heat content OHC and OMT These are important climatic parameters required for atmospheric and oceanic studies like cyclone and monsoon predictions and ocean heat transport estimations.
What are the benefits of satellite technology for societal applications?,The potential of the technology for societal applications continues to fascinate ISRO and efforts are on to leverage the benefits of technology to the betterment of mankind.
What is the status of the desertification and land degradation?,Desertification and Land Degradation Status Maps depicting Land Use Process of Degradation and Severity Level.
What is the main focus of the IRS Programme?,Remote Sensing applications projects at National State and Local levels are being carried out through a well established multipronged implementation architecture of NNRMS in the country.
How was the atlas prepared?,An atlas depicting mangrove maps was prepared using IRS 1 LISSII and Landsat TM MSS data of 19851989 timeframe on 1250000 scale for the entire country.
In What format can satellite images be visualized?,2D.
What are the most common crops covered by the FASAL project?,Crops covered are wheat rice jute mustard cotton sugarcane rabi Kharif rice and rabi sorghum.
What are the other thematic maps of the country?,"As part of the Natural Resources Census many other thematic maps are also generated and published on Bhuvan Geoportal such as Land Degradation maps, Geomorphological Lineament maps etc."
What is the hallmark of the Indian space programme?,The hallmark of the Indian space programme is the application oriented focus and the benefits that have accrued to the country through these programmes.
What are the main applications of satellite communication?,Satellite Communication utilisation has become widespread and ubiquitous throughout the country for such diverse applications like TV DTH Broadcasting DSNG and VSAT to exploit the unique capabilities in terms of coverage and outreach.
What are the main indicators of drought?,The deficient rainfall forms the first trigger for a detailed assessment of drought while other indicators such as Remote Sensing inputs Soil Moisture Crop Sowing and Hydrology related parameters are further supplemented.
What are the three categories of zones that are being monitored?,Prohibited Protected Regulated zones.
What is the need to stop the process of desertification?,There is a need to stop this degradation and try to reverse the process of land degradation.
What is the definition of a mangrove?,Mangroves are salt tolerant forest ecosystems found mainly in tropical and subtropical intertidal regions of the world.
What are the main initiatives of ISRO towards societal development?,Important initiatives pursued by ISRO towards societal development include Teleeducation Telemedicine Village Resource Centre VRC and DMS Programmes.
What are the main applications of the INSAT network?,INSAT satellites have been traditionally supporting telecommunication applications for providing voice and data communications.
What are the main parameters used for ocean forecasting?,OSF OSFs consist of forecasts of ocean waves ocean currents sea surface temperature depth of mixed layer depth of the thermocline sea level along the coast etc.
What is the role of satellite remote sensing in agriculture?,The Ministry of Agriculture and Farmers Welfare effectively uses contemporary techniques of satellite remote sensing in such decision making.
What is the role of the oceans in the environment?,"Ocean biota, in particular phytoplankton plays a fundamental role in regulating the Earth's energy balance."
What is the role of satellites in mineral exploration?,These studies have helped in gaining confidence in mineral exploration using space based data.
What are the main uses of satellites?,"Satellite links are the primary means of connectivity to remote and far flung regions of the country and they are the backup links for a large number of terrestrial connectivity in the mainland ,The satellite networks of modern age embrace to a large extent VSAT VSATs to cater to the traffic and application requirements of varied users."
What are the main uses of the data from Oceansat2?,"The major applications of data from Oceansat2 are the identification of PFZs, sea state forecasting coastal zone studies and inputs for weather forecasting and climatic studies."
What is the role of satellite data in the development of the country?,Satellite data is extensively used in geological mapping in general and for exploration of Diamond and Iron deposits in particular on behalf of NMDC NMDC.
What are the main features of the Indian space programme?,The societal services offered by Earth Observation SATCOM and the recent NavIC constellation of satellites in various areas of national development including tele education and telemedicine are standing examples of the application oriented space programme of India.
What satellites are used to collect and disseminate data?,Oceansat.
What is the definition of desertification?,Desertification is land degradation in arid semiarid and dry subhumid areas resulting from various factors including climatic variations and HU activities leading to loss of productive ecosystem and biodiversity.
What is the purpose of the NICES project?,"NICES is a multi institutional effort with the participation of ISRO DOS Centres, other ministries departments and other RD institutions."
What type of remote sensing technology is used by NESAC?,UAV .
What are the main parameters used for the oceanic forecast?,These forecasts are generated using numerical models and each covers the subsequent 57 days.
What are the applications of remote sensing data in forestry and environment?,Wetlands Forest Biomass.
What is the role of satellites in the planning of agricultural output?,"Space data is used in addressing many critical aspects such as crop area estimation, crop yield production estimation, crop condition deriving basic soil information, cropping system studies, experimental crop insurance etc."
What is the scope of the NICES project?,The geophysical products pertaining to land ocean atmosphere and cryosphere are disseminated through a NICES portal developed under Bhuvan platform.
What are some of the most prominent applications of the IRS Satellites?,Some of the most prominent ones are Agricultural Crops Inventory Water Resources IS Ground Water Prospects Forest Working Plans Biodiversity and Coral Mapping Potential Fishing Zones OSFs RD Urban Development Inventory Monitoring of Glacial Lakes Water Bodies Location Based Services using NavIC constellation Disaster Management Support Programme Cyclone and Floods Mapping Monitoring Landslide Mapping Monitoring Agricultural Drought Forest Fire Earthquakes Extreme Weather Monitoring and experimental Forecasts and so on.
What are the other popular platforms used by Governments to provide IS and solutions?,Web Geoportals.
What is the purpose of the land use cover mapping?,"These maps address i Generation of the spatial database on land use land cover ii Generation of land use land cover change database along with change matrix with respect to the previous time frame and iii Identify areas of major change ,Apart from mapping the Land Use Cover changes with respect to the 1st and 2nd cycles database is also done in the third cycle."
What is the best app for solar computing?,Mobile Applications.
What are the main uses of AWiFS data?,AWiFS data is continuously used throughout the year to prepare seasonal Land use Land cover maps of the country Rabi Kharif and Summer seasons.
What are the main activities of the Salient?,The Salient activities are 1 SWANWAM based wave forecasting system assimilating Altika data routinely runs and alerts provided through MOSDAC website II Data Assimilative circulation system using POM model also runs routinely and outputs are hosted on MOSDAC website and III Storm surge forecasts is made available operationally during cyclones to produce the surge forecasts for the coastal area.
What is the main focus of the architecture of the space programme in India?,The architecture of space programme in India emphasises on the applications with the active participation of user community from Government Academia and Industry.
What is the role of satellites in the mapping of landforms?,"The landforms are grouped based on their origin into various classes with an emphasis on morphography morphogenesis morphostructure ,Remote sensing data helped in deciphering the geological structures density of lineaments and geomorphic spectral anomalies for narrowing down prospective areas."
What is the role of satellites in mapping the diverse geological and geological regions of the?,An inventory of 417 landform units is made covering the diverse geological geomorphological provinces in the country.
What are the main uses of satellites for telecommunications?,Telecom services are being provided by BSNL to remote and inland through satellite media in CBand and Kuband from main earth stations as backhaul point to point connections.
What is the most common type of satellite communication in India?,DTH Broadcasting.
What is the status of desertification in India?,Desertification Status Mapping in GIS environment on 150 000 scale using IRS LISS III data of 201113 and 200305 time frames for selected 78 vulnerable districts is being carried out.
What month has NASA trained officials in using space technology?,07-01-2014.
What are the main technologies that are transforming the management of natural resources?,Geospatial technologies.
What is the definition of a wetlands?,Wetlands are considered the most productive ecosystem housing a number of flora and fauna.
What are the other popular platforms used by the Ministry of Agriculture and Farmers Welfare?,Web Geoportals and mobile technologies Bhuvan Geoportal are the other popular platforms being used by Governments to provide IS and solutions at all levels Which are proving to be effective.
What is the role of ISRO in the planning of agricultural output?,The centre is also actively involved in the national level assessment of Horticultural Crops and their coverage across the agro climatic regions in the country.
What is the role of ISRO in the development of urban planning?,"NRSC ISRO works closely with the Ministry of Housing and Urban Affairs MoHU for the Creation of geospatial databases for the formulation of GISBased Master Plan for AMRUT cities, a subscheme under AMRUT."
What is the role of MOSDAC?,MOSDAC is a data repository for all the meteorological missions of ISRO and deals with weather related information oceanography and tropical water cycles.
What is the most popular map of India?,Bhuvan Geoportal.
What are the different types of data available for the country?,Global Horizontal irradiance direct and diffuse normal irradiance capacity utilization factor and annual energy potential are available for the entire country using Kalpana and INSAT 3D 3DR satellites.
What is the role of ISRO in the development of the CAPE project?,ISRO works closely with Central State Government departments ministries Industry and Academia in ensuring the best of solutions for optimal management of Natural Resources support services for good governance and societal development.
What are the objectives of the AstroSat mission?,"The objectives of the AstroSat mission are to design develop realize and launch a multiwavelength astronomy satellite for studying the cosmic sources simultaneously over a wide range of the electromagnetic spectrum ,The scientific objectives of the AstroSat mission are To understand high energy processes in binary star systems containing neutron stars and black holes Estimate magnetic fields of neutron stars Study star birth regions and high energy processes in star systems lying beyond our galaxy Detect new briefly bright X Ray sources in the sky Perform a limited deep field survey of the UV in the UV region."
Which launch vehicle is the first experimental suborbital flight of India's latest generation?,Launch Vehicle LVM3.
What are the main functions of the Payload Operations System?,POC POCs are the instrument wise focal points.
What is the purpose of the AstroSat Antenna?,AstroSat Antenna 11m is dedicated to AstroSat TTC data Payload data reception operations.
What is the X Ray Detector?,The LAXPC comprises three large area proportional counters to carry out timing and broadband spectroscopy over the energy band of 380 keV X Rays for variable astrophysical sources.
What is CAM?,The CAM consists of a predetermined pattern of rectangle square holes matched with the size of the CZT pixel straight down to it and the CAM casts a shadow onto the detector with 50 transparency roughly equal number of close and open cells.
When did the PSLVC50 successfully launch?,PSLVC50 successfully launches CMS01 from SHAR Sriharikota India's communication satellite CMS01 was successfully launched by PSLVC50 on Wednesday December 17 2020 from the SDSC SDSC SHAR Sriharikota.
What is the LAXPC?,LAXPC has three coaligned proportional counters with a total effective area of about 8000 cm2 at 530 keV.
What is the main purpose of the CZT?,Its main purpose is to record the variation of the total intensity of sources within its 1degree field of view with high time resolution and moderate spectral resolution over a large spectral band from III to 80 keV.
Where did India's communication satellite CMS01 successfully launch?,the SDSC.
What is the purpose of the satellite control centre?,This centre houses all necessary and approved mission operation software and analysis tools.
In What complex is AstroSat TTC Payload Ground Station located?,the Indian Deep Space Network Complex.
AT What time did the PSLVC50 successfully launch?,PSLVC50 lifted off from the Second Launch Pad of SDSC SHAR at 1541 hours IST carrying CMS01.
At What time did the PSLVC49 successfully launch?,PSLVC49 lifted off at 1511 Hrs IST from the First Launch Pad of SDSC SHAR Sriharikota.
Where is the CPM from?,This instrument is from the TIFR Mumbai.
What company was involved in the launch of the nine customer satellites?,NSIL.
What is the first experimental suborbital flight of India's latest generation launch vehicle?,LVM3XCARE Mission.
In What orbit will the satellite be placed?,the Geostationary Orbit.
What is the purpose of the Smart sampling for crop insurance?,Smart sampling aims at improving the crop yield estimates by adopting objective methods of plot selection for crop yield measurement.
Which satellites were used to monitor and map the floods in the tropical Indian Ocean?,The floods were monitored and mapped using IRS Series satellites Optical Radarsat2 SAR and Sentinel Series of satellite datasets on a regular basis and inundation maps at State and District level were generated and disseminated to StateCentral Governments.
What is the need for NavIC in mobile phones?,Chip Manufacturers is necessary to first develop NavIC enabled processing chipsets Which can be introduced in the Smartphones.
Why is INSAT 4B operating with reduced capacity?,Due to a power anomaly the satellite is operating with reduced capacity.
What is the mission of the Cartosat2 Scatterometer?,"It is a continuity mission of Oceansat2 Scatterometer to provide wind vector data products for weather forecasting, cyclone detection and tracking services to the users."
When did the Chandrayaan2 mission enter into orbit?,LOI maneuver was performed on August 20 2019 thereby Chandrayaan2 was successfully inserted into an elliptical orbit around the Moon.
What is the mission of the HU Space Flight Centre?,The HSFC was established in ISRO in January 2019 for implementing the vision of the HU space flight programme.
What is the main objective of OCEANSAT3?,The prime objective of OCEANSAT3 is to ensure data continuity with improved payload specification of Ocean colour and wind vector data to sustain the operational applications.
What is the role of NavIC in the mobile industry?,NavIC can be extensively used for positioning navigation and timing applications in a variety of civil and commercial activities related to land transportation aviation maritime mapping surveying and geodesy scientific research timing and telecommunications.
What are the applications of BMT Ceramics?,"BMT Ceramics find applications in oscillators, multiplexers, filters etc."
What is the main purpose of the Chandrayaan2?,"Chandrayaan2, LAS X Ray Spectrometer CLASS X Ray fluorescence spectrometer is also a continuation of C1XS payload of Chandrayaan1 with a larger collection area aiming to map elemental abundances at 12 km spatial resolution at its best."
What is the role of NavIC in mobile phones?,NavIC signal can be extensively used in a variety of civil and commercial activities related to land transportation aviation maritime mapping surveying and geodesy scientific research timing and telecommunications etc.
What are the major projects that were supported by the GISAT?,National user projects were also supported with the special value added products viz.
What is the primary objective of the RISAT2A mission?,The primary objective of the mission is to provide XBand SAR operating in orbit with an average daily revisit capability over the area of interest and maximizing the number of spot images in a given orbit.
What are the main applications of NavIC?,"NavIC based Timing applications As part of the pilot project NavIC based timing receivers are installed at Power Transmissions stations at Dadri Patna Shillong Boisar and Tumkur to provide measurement ticks for the Phase Measurement Units ,ISRO has developed a Proof of Concept where NavIC is used for time stamping of groundwater level measurements at each location."
What are the main services of the mobile satellite service?,The MSS Service provides communication to the portable and handheld devices.
What is the purpose of GISAT1?,GISAT1 is aimed at providing fast revisit capability real time monitoring multispectral and hyperspectral imaging all on a single agile jitterfree platform.
What is the main objective of the IAOP?,IAOP is intended to encourage students with good foundations in Physics and Mathematics and an interest in Astronomy to pursue further studies in this field.
What are the main components of the GSLV MK III?,Overall configurations of GSLV MK III CES crew module and service module have been finalised.
What are the main types of services provided by the Indian MCS?,Largely two types of services namely voice and messaging are provided using MSS.
When did the insertion of the moon take place?,The LOI was successfully carried out on 20th Aug 2019.
What is the role of Mobile Phone Manufacturers in ISRO?,With an increasing number of mobiles chips supporting NavIC ISRO is also liaising with mobile OEMs to rollout new NavIC enabled mobile phones into the market.
What is the main purpose of Automation Software for SWAT Model?,The automation of the model mainly involves the preparation of these inputs for the SWAT run by aggregating basin wise parameters from the weather products on a daytoday basis.
What are the main uses of satellite links?,Satellite links are the primary means of connectivity to remote farflung and difficult to access regions of the country and play the role of backup links for a large number of services on terrestrial connectivity.
What is the mission of the DECU at Ahmedabad?,Established in 1983 the DECU at Ahmedabad is dedicated to releasing satellite based societal applications.
What is the mission of the PSLVQL?,PSLVQL configuration was successfully launched on April 01 2019 carrying EMISAT along with 28 co-passenger satellites.
